2024-11-26 15:46:26.821 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 19:41:27.429 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.752 сек., синхр.=0.006 сек., всего=0.762 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=20 kB, ожидалось=20 kB; lsn=0/20AC1F0, lsn redo=0/20AC1B8
2024-11-26 19:46:26.439 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-26 19:46:26.877 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.429 сек., синхр.=0.004 сек., всего=0.438 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=7 kB, ожидалось=19 kB; lsn=0/20AE0A8, lsn redo=0/20AE070
2024-11-26 21:31:49.252 MSK [40752] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-11-26 21:31:49.252 MSK [11272] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-11-26 21:31:49.252 MSK [968] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-11-26 21:31:49.258 MSK [19624] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-11-27 09:07:25.904 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 09:07:26.235 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.325 сек., синхр.=0.003 сек., всего=0.332 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=7 kB, ожидалось=18 kB; lsn=0/20AFF78, lsn redo=0/20AFF40
2024-11-27 09:34:30.893 MSK [26752] ВАЖНО:  пользователь "postgres" не прошёл проверку подлинности (по паролю)
2024-11-27 09:34:30.893 MSK [26752] ПОДРОБНОСТИ:  Подключение соответствует строке 117 в "C:/Program Files/PostgreSQL/16/data/pg_hba.conf": "host    all             all             ::1/128                 scram-sha-256"
2024-11-27 09:34:31.031 MSK [37132] ВАЖНО:  пользователь "postgres" не прошёл проверку подлинности (по паролю)
2024-11-27 09:34:31.031 MSK [37132] ПОДРОБНОСТИ:  Подключение соответствует строке 117 в "C:/Program Files/PostgreSQL/16/data/pg_hba.conf": "host    all             all             ::1/128                 scram-sha-256"
2024-11-27 09:42:25.280 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 09:42:25.613 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.326 сек., синхр.=0.003 сек., всего=0.334 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=8 kB, ожидалось=17 kB; lsn=0/20B2018, lsn redo=0/20B1FC8
2024-11-27 09:52:25.623 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 09:52:25.955 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.325 сек., синхр.=0.003 сек., всего=0.333 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=8 kB, ожидалось=16 kB; lsn=0/20B41A0, lsn redo=0/20B4168
2024-11-27 09:57:25.969 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 09:57:26.299 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.323 сек., синхр.=0.003 сек., всего=0.331 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=8 kB, ожидалось=15 kB; lsn=0/20B6428, lsn redo=0/20B63F0
2024-11-27 10:02:25.302 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 10:02:25.631 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.322 сек., синхр.=0.003 сек., всего=0.329 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=10 kB, ожидалось=15 kB; lsn=0/20B8CA0, lsn redo=0/20B8C68
2024-11-27 10:12:25.645 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 10:12:25.976 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.323 сек., синхр.=0.003 сек., всего=0.331 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=9 kB, ожидалось=14 kB; lsn=0/20BB0A0, lsn redo=0/20BB068
2024-11-27 10:17:25.987 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 10:17:26.316 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.322 сек., синхр.=0.003 сек., всего=0.330 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=9 kB, ожидалось=13 kB; lsn=0/20BD5A0, lsn redo=0/20BD568
2024-11-27 10:27:25.326 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 10:27:26.089 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.755 сек., синхр.=0.003 сек., всего=0.764 сек.; синхронизировано_файлов=5, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=10 kB, ожидалось=13 kB; lsn=0/20BFF18, lsn redo=0/20BFEE0
2024-11-27 10:32:25.100 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 10:32:25.427 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.320 сек., синхр.=0.003 сек., всего=0.327 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=2 kB, ожидалось=12 kB; lsn=0/20C0A18, lsn redo=0/20C09E0
2024-11-27 10:52:25.454 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 10:52:25.784 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.322 сек., синхр.=0.003 сек., всего=0.330 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=2 kB, ожидалось=11 kB; lsn=0/20C1548, lsn redo=0/20C1510
2024-11-27 10:57:25.799 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 10:57:26.130 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.324 сек., синхр.=0.003 сек., всего=0.332 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=4 kB, ожидалось=10 kB; lsn=0/20C25C0, lsn redo=0/20C2588
2024-11-27 11:12:25.136 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-11-27 11:12:25.906 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 8 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.760 сек., синхр.=0.006 сек., всего=0.771 сек.; синхронизировано_файлов=8, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=7 kB, ожидалось=10 kB; lsn=0/20C4318, lsn redo=0/20C42E0
